source_id,source_implementation,model,revision,pool_manifest_sha256,method,reporting_role,evaluation_slice,evaluation_slice_label,evaluation_slice_query_count,stratum_type,stratum_value,stratum_label,k_chunks,frame_query_count,literal_citation_query_count,metric_eligible_query_count,no_explicit_citation_count,stratum_frame_query_count,stratum_included_query_count,stratum_excluded_query_count,cited_article_hit,citation_recall,all_citations,citation_ndcg
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,literal_citation_all,all literal-citation questions,191,all,all,all,10,240,191,186,49,191,191,0,0.816753926702,0.732809773124,0.654450261780,0.590684761257
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,literal_citation_all,all literal-citation questions,191,multi,multi,multiple citations,10,240,191,186,49,52,52,0,0.865384615385,0.557051282051,0.269230769231,0.481752241935
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,literal_citation_all,all literal-citation questions,191,sensitivity,without_flagged_duplicate,all eligible except flagged duplicate,10,240,191,186,49,239,190,49,0.815789473684,0.731403508772,0.652631578947,0.588530470527
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,literal_citation_all,all literal-citation questions,191,category,267,УСН,10,240,191,186,49,17,17,0,0.705882352941,0.529411764706,0.352941176471,0.449341508212
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,preliminary_filtered,literal-citation questions after preliminary technical screening,186,all,all,all,10,240,191,186,49,191,186,5,0.822580645161,0.739068100358,0.661290322581,0.596842044945
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,preliminary_filtered,literal-citation questions after preliminary technical screening,186,multi,multi,multiple citations,10,240,191,186,49,52,51,1,0.862745098039,0.558169934641,0.274509803922,0.487723084192
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,preliminary_filtered,literal-citation questions after preliminary technical screening,186,sensitivity,without_flagged_duplicate,all eligible except flagged duplicate,10,240,191,186,49,239,185,54,0.821621621622,0.737657657658,0.659459459459,0.594662812756
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,preliminary_filtered,literal-citation questions after preliminary technical screening,186,category,267,УСН,10,240,191,186,49,17,16,1,0.750000000000,0.562500000000,0.375000000000,0.477425352475
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,literal_citation_all,all literal-citation questions,191,all,all,all,20,240,191,186,49,191,191,0,0.890052356021,0.827399650960,0.759162303665,0.617780504102
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,literal_citation_all,all literal-citation questions,191,multi,multi,multiple citations,20,240,191,186,49,52,52,0,0.923076923077,0.692948717949,0.442307692308,0.527657890588
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,literal_citation_all,all literal-citation questions,191,sensitivity,without_flagged_duplicate,all eligible except flagged duplicate,20,240,191,186,49,239,190,49,0.889473684211,0.826491228070,0.757894736842,0.615768822544
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,literal_citation_all,all literal-citation questions,191,category,267,УСН,20,240,191,186,49,17,17,0,0.764705882353,0.598039215686,0.411764705882,0.473689592767
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,preliminary_filtered,literal-citation questions after preliminary technical screening,186,all,all,all,20,240,191,186,49,191,186,5,0.897849462366,0.836200716846,0.768817204301,0.624666167974
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,preliminary_filtered,literal-citation questions after preliminary technical screening,186,multi,multi,multiple citations,20,240,191,186,49,52,51,1,0.921568627451,0.696732026144,0.450980392157,0.534528843604
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,preliminary_filtered,literal-citation questions after preliminary technical screening,186,sensitivity,without_flagged_duplicate,all eligible except flagged duplicate,20,240,191,186,49,239,185,54,0.897297297297,0.835315315315,0.767567567568,0.622637336449
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,preliminary_filtered,literal-citation questions after preliminary technical screening,186,category,267,УСН,20,240,191,186,49,17,16,1,0.812500000000,0.635416666667,0.437500000000,0.503295192315
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,literal_citation_all,all literal-citation questions,191,all,all,all,50,240,191,186,49,191,191,0,0.952879581152,0.902443280977,0.848167539267,0.634904367518
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,literal_citation_all,all literal-citation questions,191,multi,multi,multiple citations,50,240,191,186,49,52,52,0,0.980769230769,0.795512820513,0.596153846154,0.554848853257
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,literal_citation_all,all literal-citation questions,191,sensitivity,without_flagged_duplicate,all eligible except flagged duplicate,50,240,191,186,49,239,190,49,0.952631578947,0.901929824561,0.847368421053,0.632982811558
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,literal_citation_all,all literal-citation questions,191,category,267,УСН,50,240,191,186,49,17,17,0,0.882352941176,0.725490196078,0.588235294118,0.503448245657
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,preliminary_filtered,literal-citation questions after preliminary technical screening,186,all,all,all,50,240,191,186,49,191,186,5,0.951612903226,0.899820788530,0.844086021505,0.639364984905
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,preliminary_filtered,literal-citation questions after preliminary technical screening,186,multi,multi,multiple citations,50,240,191,186,49,52,51,1,0.980392156863,0.791503267974,0.588235294118,0.559889801364
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,preliminary_filtered,literal-citation questions after preliminary technical screening,186,sensitivity,without_flagged_duplicate,all eligible except flagged duplicate,50,240,191,186,49,239,185,54,0.951351351351,0.899279279279,0.843243243243,0.637415606445
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,preliminary_filtered,literal-citation questions after preliminary technical screening,186,category,267,УСН,50,240,191,186,49,17,16,1,0.875000000000,0.708333333333,0.562500000000,0.521769391144
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,literal_citation_all,all literal-citation questions,191,single,single,single citation,10,240,191,186,49,139,139,0,0.798561151079,0.798561151079,0.798561151079,0.631436495105
