qid,status,reason_code,query_group,category_id,slice,cutoff,cutoff_role,target_count,candidate_hit,candidate_recall,all_targets,before_rank_at_10,before_hit_at_10,before_rr_at_10,before_ndcg_at_10,after_rank_at_10,after_hit_at_10,after_rr_at_10,after_ndcg_at_10,delta_ndcg_at_10,comparison
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,eligible_cited_clause,all_cited_clauses_mapped_uniquely,fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,705,primary_cited_clause,10,sensitivity,1,true,1.000000000,true,1,true,1.000000000,1.000000000,1,true,1.000000000,1.000000000,0.000000000,tie
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,eligible_cited_clause,all_cited_clauses_mapped_uniquely,fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,705,primary_cited_clause,20,sensitivity,1,true,1.000000000,true,1,true,1.000000000,1.000000000,1,true,1.000000000,1.000000000,0.000000000,tie
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,eligible_cited_clause,all_cited_clauses_mapped_uniquely,fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,705,primary_cited_clause,30,sensitivity,1,true,1.000000000,true,1,true,1.000000000,1.000000000,1,true,1.000000000,1.000000000,0.000000000,tie
fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,eligible_cited_clause,all_cited_clauses_mapped_uniquely,fns-012b4513b35b1bca5591afd061f1ed681326e5c538c4423cad7efa25299fa774,705,primary_cited_clause,50,primary,1,true,1.000000000,true,1,true,1.000000000,1.000000000,1,true,1.000000000,1.000000000,0.000000000,tie
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,eligible_cited_clause,all_cited_clauses_mapped_uniquely,fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,704,primary_cited_clause,10,sensitivity,1,true,1.000000000,true,1,true,1.000000000,1.000000000,1,true,1.000000000,1.000000000,0.000000000,tie
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,eligible_cited_clause,all_cited_clauses_mapped_uniquely,fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,704,primary_cited_clause,20,sensitivity,1,true,1.000000000,true,1,true,1.000000000,1.000000000,1,true,1.000000000,1.000000000,0.000000000,tie
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,eligible_cited_clause,all_cited_clauses_mapped_uniquely,fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,704,primary_cited_clause,30,sensitivity,1,true,1.000000000,true,1,true,1.000000000,1.000000000,1,true,1.000000000,1.000000000,0.000000000,tie
fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,eligible_cited_clause,all_cited_clauses_mapped_uniquely,fns-02003bccff8b08914bd94bb7a4fd2b42d21d51a37080458f62ad24ea5a958e9f,704,primary_cited_clause,50,primary,1,true,1.000000000,true,1,true,1.000000000,1.000000000,1,true,1.000000000,1.000000000,0.000000000,tie
fns-0349ed50d9b4f7f4323fd60f4fbd0eb33e3408e76d57aa80cddf64bb421eafaf,eligible_cited_clause,all_cited_clauses_mapped_uniquely,fns-0349ed50d9b4f7f4323fd60f4fbd0eb33e3408e76d57aa80cddf64bb421eafaf,264,primary_cited_clause,10,sensitivity,1,true,1.000000000,true,1,true,1.000000000,1.000000000,3,true,0.333333333,0.500000000,-0.500000000,loss
fns-0349ed50d9b4f7f4323fd60f4fbd0eb33e3408e76d57aa80cddf64bb421eafaf,eligible_cited_clause,all_cited_clauses_mapped_uniquely,fns-0349ed50d9b4f7f4323fd60f4fbd0eb33e3408e76d57aa80cddf64bb421eafaf,264,primary_cited_clause,20,sensitivity,1,true,1.000000000,true,1,true,1.000000000,1.000000000,3,true,0.333333333,0.500000000,-0.500000000,loss
fns-0349ed50d9b4f7f4323fd60f4fbd0eb33e3408e76d57aa80cddf64bb421eafaf,eligible_cited_clause,all_cited_clauses_mapped_uniquely,fns-0349ed50d9b4f7f4323fd60f4fbd0eb33e3408e76d57aa80cddf64bb421eafaf,264,primary_cited_clause,30,sensitivity,1,true,1.000000000,true,1,true,1.000000000,1.000000000,3,true,0.333333333,0.500000000,-0.500000000,loss
fns-0349ed50d9b4f7f4323fd60f4fbd0eb33e3408e76d57aa80cddf64bb421eafaf,eligible_cited_clause,all_cited_clauses_mapped_uniquely,fns-0349ed50d9b4f7f4323fd60f4fbd0eb33e3408e76d57aa80cddf64bb421eafaf,264,primary_cited_clause,50,primary,1,true,1.000000000,true,1,true,1.000000000,1.000000000,3,true,0.333333333,0.500000000,-0.500000000,loss
fns-03f0df063dc511c48894d55fbe350885763ae9f062a430fe76cd847abdf55c5d,excluded,no_explicit_nk_citation,fns-03f0df063dc511c48894d55fbe350885763ae9f062a430fe76cd847abdf55c5d,267,none,10,sensitivity,,,,,,,,,,,,,,
fns-03f0df063dc511c48894d55fbe350885763ae9f062a430fe76cd847abdf55c5d,excluded,no_explicit_nk_citation,fns-03f0df063dc511c48894d55fbe350885763ae9f062a430fe76cd847abdf55c5d,267,none,20,sensitivity,,,,,,,,,,,,,,
fns-03f0df063dc511c48894d55fbe350885763ae9f062a430fe76cd847abdf55c5d,excluded,no_explicit_nk_citation,fns-03f0df063dc511c48894d55fbe350885763ae9f062a430fe76cd847abdf55c5d,267,none,30,sensitivity,,,,,,,,,,,,,,
fns-03f0df063dc511c48894d55fbe350885763ae9f062a430fe76cd847abdf55c5d,excluded,no_explicit_nk_citation,fns-03f0df063dc511c48894d55fbe350885763ae9f062a430fe76cd847abdf55c5d,267,none,50,primary,,,,,,,,,,,,,,
fns-0687700100cbc7a159006d1b6e81d4a0ac1e97f11a0c1ce8f6c20560fec9beb7,eligible_cited_clause,all_cited_clauses_mapped_uniquely,fns-0687700100cbc7a159006d1b6e81d4a0ac1e97f11a0c1ce8f6c20560fec9beb7,259,primary_cited_clause,10,sensitivity,2,true,0.500000000,false,1,true,1.000000000,0.613147193,1,true,1.000000000,0.613147193,0.000000000,tie
